date,lovebird,budgie,treatment
17.01.17,3,1,pre
19.01.17,,2.2,pre
21.01.17,,2.2,pre
23.01.17,12,1.4,pre
26.01.17,,2,pre
30.01.17,,4.3,pre
3.02.17,15.6,7.1,pre
7.02.17,,0.8,pre
15.2.17,,2.9,pre
17.02.17,,1.4,pre
20.02.17,22.6,2.2,pre
23.02.17,,2.2,pre
01.03.17,,4,pre
04.03.17,24.2,6.2,pre
06.03.17,,5.3,pre
20.04.17,,6.8,pre
24.04.17,29.2,4.5,pre
02.05.17,26.7,7,treat
05.05.17,1.3,1.7,treat
08.05.17,0.7,1.6,treat
11.05.17,0.1,1.1,treat
15.05.17,0.2,0.1,treat
18.05.17,0.3,0.2,treat
22.05.17,0.2,0.1,treat
25.05.17,0.3,0,treat
29.05.17,0.5,0.1,treat
02.06.17,0.5,0,treat
06.06.17,3.6,0.9,post
09.06.17,31.4,1,post
13.06.17,19.3,10.2,post
16.06.17,31.7,5.9,post
19.06.17,37.5,11.2,post
22.06.17,38.8,8.4,post
26.06.17,39.3,3.5,post
