age,sex,gf,mft,pvf,pcri,pcrf,hist,mp,pl,cl
adult,cock,normal,negative,negative,negative,negative,negative,negative,negative,negative
adult,hen,abnormal,positive,positive,positive,positive,positive,positive,negative,positive
juvenile,cock,abnormal,negative,positive,positive,negative,negative,positive,negative,positive
adult,cock,normal,positive,positive,positive,negative,positive,positive,negative,positive
adult,cock,abnormal,negative,negative,negative,negative,negative,negative,negative,positive
juvenile,hen,normal,positive,positive,positive,positive,negative,positive,negative,positive
juvenile,hen,abnormal,negative,negative,negative,negative,negative,negative,negative,negative
adult,hen,normal,negative,negative,negative,negative,negative,negative,negative,positive
adult,hen,normal,negative,positive,positive,negative,positive,positive,negative,negative
adult,hen,normal,positive,positive,positive,negative,negative,positive,negative,negative
juvenile,hen,abnormal,positive,positive,positive,negative,positive,positive,negative,negative
adult,cock,normal,negative,negative,negative,negative,negative,negative,negative,negative
adult,cock,abnormal,negative,negative,negative,negative,negative,negative,negative,positive
juvenile,cock,abnormal,negative,negative,negative,negative,negative,negative,negative,positive
juvenile,cock,abnormal,negative,positive,positive,negative,positive,positive,negative,positive
juvenile,cock,abnormal,negative,negative,negative,negative,negative,negative,negative,positive
juvenile,cock,abnormal,negative,negative,negative,negative,negative,negative,negative,positive
juvenile,cock,abnormal,positive,positive,positive,negative,negative,positive,negative,positive
juvenile,hen,abnormal,positive,positive,positive,negative,positive,positive,negative,positive
adult,cock,normal,positive,positive,positive,positive,negative,positive,negative,negative
